MTS,Outcome,rho,p-value,n
mts_pca_3feat,part_n_war,0.461,0.0,157
mts_pca_3feat,part_n_minor,0.346,0.0,157
mts_pca_3feat,war_minor_ratio,0.261,0.0018,140
mts_pca_3feat,part_n_extraterritorial,0.292,0.0002,157
mts_pca_3feat,extraterritorial_share,-0.049,0.5619,140
mts_pca_3feat,log_brd,0.078,0.3318,157
mts_milex,part_n_war,0.437,0.0,161
mts_milex,part_n_minor,0.289,0.0002,161
mts_milex,war_minor_ratio,0.291,0.0004,143
mts_milex,part_n_extraterritorial,0.283,0.0003,161
mts_milex,extraterritorial_share,0.023,0.784,143
mts_milex,log_brd,0.014,0.8576,161
mts_tiv,part_n_war,0.443,0.0,179
mts_tiv,part_n_minor,0.326,0.0,179
mts_tiv,war_minor_ratio,0.236,0.0035,152
mts_tiv,part_n_extraterritorial,0.28,0.0001,179
mts_tiv,extraterritorial_share,-0.054,0.5053,152
mts_tiv,log_brd,0.12,0.1102,179
