Period,Years,Outcome,coef,SE,p,N
post_cw,1989-2001,part_n_war,0.5948009884226215,0.23552235858899465,0.011663869384676895,1572
post_cw,1989-2001,part_n_minor,0.38165614671454695,0.1364330826776334,0.005221907557607874,1572
post_cw,1989-2001,war_minor_ratio,0.5661932212610695,0.2781279972299975,0.042827856888784765,315
post_cw,1989-2001,part_n_extraterritorial,-0.43114394107168486,0.2532597201290302,0.08890513952637202,1572
post_cw,1989-2001,extraterritorial_share,-0.6789643810895669,0.5286942109058538,0.20024596522723015,315
post_cw,1989-2001,log_brd,2.854708475782577,0.7897339207748894,0.0003112069741320056,1572
post_911,2002-2024,part_n_war,0.32062441892553784,0.24982901584989708,0.19945516544694963,3324
post_911,2002-2024,part_n_minor,0.5837111760663756,0.43030791865433243,0.1750386517681206,3324
post_911,2002-2024,war_minor_ratio,0.35048143371288965,0.26430054707687006,0.18503496193167956,1531
post_911,2002-2024,part_n_extraterritorial,0.380305322435735,0.460461438061373,0.4089108960693324,3324
post_911,2002-2024,extraterritorial_share,-0.04949852186511836,0.3811701898698904,0.8966965716080302,1531
post_911,2002-2024,log_brd,1.858277507668105,0.5355364319624047,0.0005275842132697051,3324
full,1989-2024,part_n_war,0.30259299334009093,0.14491116985002175,0.03684000356787731,4896
full,1989-2024,part_n_minor,0.5391559569699179,0.17263831785242287,0.0018008243242397803,4896
full,1989-2024,war_minor_ratio,0.23409537294045663,0.22302146875803056,0.2940281076751754,1846
full,1989-2024,part_n_extraterritorial,0.1602261484561156,0.2017914450778889,0.4272246998271281,4896
full,1989-2024,extraterritorial_share,-0.5093770821291989,0.33056378671313774,0.12352098490110874,1846
full,1989-2024,log_brd,2.0297374623975606,0.5914762810989318,0.000605098149248251,4896
