weapon,outcome,lag,rho_mean,rho_std,n_countries
AIR,part_n_extraterritorial,0,-0.00532189517098895,0.19312545167759365,134
AIR,part_n_extraterritorial,1,0.007336674520469634,0.18774110460985471,133
AIR,part_n_extraterritorial,2,0.004203622132095117,0.18396884508646655,133
AIR,part_n_extraterritorial,3,0.0061353152825278975,0.17638617738116233,131
AIR,part_n_extraterritorial,4,0.014898439510050373,0.1801662786583883,131
AIR,part_n_extraterritorial,5,-0.029650502756432023,0.1833519262142951,131
AIR,part_n_minor,0,0.008711863197377934,0.2222381967784815,144
AIR,part_n_minor,1,0.0035131049591016106,0.19087637455714776,143
AIR,part_n_minor,2,0.016427676078637692,0.20015741012474186,141
AIR,part_n_minor,3,-0.002104013466115023,0.19747361733162108,141
AIR,part_n_minor,4,0.013918965462933286,0.20015845608967162,140
AIR,part_n_minor,5,-0.024559055431796477,0.19438015656966912,140
AIR,part_n_war,0,0.003146421208469918,0.213813582122331,127
AIR,part_n_war,1,0.01443473551712699,0.1831425661691699,126
AIR,part_n_war,2,-0.011530480220904573,0.19913206378196244,126
AIR,part_n_war,3,0.006640004314902122,0.21189130993537028,122
AIR,part_n_war,4,-0.009009092197039006,0.16220474687012768,122
AIR,part_n_war,5,0.0036717790181986587,0.19501373719142767,121
GROUND,part_n_extraterritorial,0,0.018622920629668024,0.18865166592010255,132
GROUND,part_n_extraterritorial,1,-0.021520357082356195,0.19879269944894368,132
GROUND,part_n_extraterritorial,2,-0.016711053931281403,0.1995726443522008,130
GROUND,part_n_extraterritorial,3,0.012427941434723597,0.1838955362495334,127
GROUND,part_n_extraterritorial,4,0.016505733319252196,0.19236734953238793,127
GROUND,part_n_extraterritorial,5,-0.02454689127460485,0.21119895932851793,126
GROUND,part_n_minor,0,0.010879527408083777,0.1929807387249309,140
GROUND,part_n_minor,1,0.004386475938684458,0.1967587382786473,140
GROUND,part_n_minor,2,-0.012581944055806364,0.2064104842830725,137
GROUND,part_n_minor,3,-0.010075743393432519,0.20367871433057713,136
GROUND,part_n_minor,4,0.01110545384467533,0.20705599256260127,135
GROUND,part_n_minor,5,-0.0033562381307773986,0.2141373912825517,134
GROUND,part_n_war,0,0.03959466973125941,0.21922189460482336,124
GROUND,part_n_war,1,-0.025818270169310056,0.2357013656298204,124
GROUND,part_n_war,2,-0.008509032339659935,0.21752743927739163,122
GROUND,part_n_war,3,0.024647681181512976,0.19885311092577523,117
GROUND,part_n_war,4,0.004389700843962025,0.1740385007977146,117
GROUND,part_n_war,5,-0.019145217973227813,0.17975975618507503,116
MISSILES,part_n_extraterritorial,0,-0.04668708722703149,0.18297170206236918,113
MISSILES,part_n_extraterritorial,1,0.012807283012092623,0.18689361982905744,110
MISSILES,part_n_extraterritorial,2,0.010494270901730518,0.19472141684328723,108
MISSILES,part_n_extraterritorial,3,-0.01827884831927316,0.2134682103081519,106
MISSILES,part_n_extraterritorial,4,0.023149731529801584,0.21686589673868828,106
MISSILES,part_n_extraterritorial,5,0.008396682160334679,0.16561930623615448,106
MISSILES,part_n_minor,0,-0.032567104211804525,0.19190903218058164,117
MISSILES,part_n_minor,1,0.02212265839360285,0.2033861723398863,115
MISSILES,part_n_minor,2,-0.004389283068665911,0.20281372592488903,112
MISSILES,part_n_minor,3,-0.015959794790545857,0.22158239356251624,112
MISSILES,part_n_minor,4,0.01581409452300644,0.2244156273099662,111
MISSILES,part_n_minor,5,0.0034465605286233907,0.1900223751749392,111
MISSILES,part_n_war,0,-0.01589075267500506,0.23685978374894803,109
MISSILES,part_n_war,1,0.03427619186338372,0.19222735588142312,106
MISSILES,part_n_war,2,-0.01125385085205843,0.21155491466684692,105
MISSILES,part_n_war,3,0.003063934455866612,0.18095756095658683,102
MISSILES,part_n_war,4,0.020450919458804923,0.16126260004230394,102
MISSILES,part_n_war,5,-0.026764402528522694,0.17816264098614437,101
NAVAL,part_n_extraterritorial,0,-0.008775706140573209,0.1971875253736917,98
NAVAL,part_n_extraterritorial,1,0.008619291629203182,0.1867058499445521,97
NAVAL,part_n_extraterritorial,2,-0.008947838355986113,0.20338939266051578,97
NAVAL,part_n_extraterritorial,3,0.028164607184333938,0.17220619246753188,95
NAVAL,part_n_extraterritorial,4,-0.01069531727360652,0.1959281922656483,95
NAVAL,part_n_extraterritorial,5,-0.0063313822607861175,0.21427259205498977,95
NAVAL,part_n_minor,0,-0.009838845596599284,0.19912716284502338,104
NAVAL,part_n_minor,1,0.022215112351976887,0.20068619829738416,104
NAVAL,part_n_minor,2,-0.023391754515455988,0.2142426800387083,103
NAVAL,part_n_minor,3,0.03678371817594242,0.19464902432332548,103
NAVAL,part_n_minor,4,-0.010889548748750241,0.220308853817918,102
NAVAL,part_n_minor,5,-0.014228588287561674,0.22997626244911165,102
NAVAL,part_n_war,0,0.00047460187499717726,0.20143737041618176,95
NAVAL,part_n_war,1,0.0003365731969045082,0.17966698590416114,94
NAVAL,part_n_war,2,-0.013458916412934601,0.1909043646463697,94
NAVAL,part_n_war,3,0.024524835753504018,0.21721550662101383,90
NAVAL,part_n_war,4,-0.011081621363170913,0.23610147216729246,90
NAVAL,part_n_war,5,0.0299951728070546,0.19510236671973272,90
