iso3,weapon,outcome,lag,rho
AFG,AIR,part_n_minor,0,-0.16912089860606766
AFG,AIR,part_n_minor,1,0.2957031093212362
AFG,AIR,part_n_minor,2,0.023215058984952006
AFG,AIR,part_n_minor,3,-0.3212809809939277
AFG,AIR,part_n_minor,4,0.26039371661037114
AFG,AIR,part_n_minor,5,0.09036737097474627
AGO,AIR,part_n_minor,0,-0.14636172014014454
AGO,AIR,part_n_minor,1,0.21220801009201035
AGO,AIR,part_n_minor,2,0.09770060547847068
AGO,AIR,part_n_minor,3,-0.39380716229217055
AGO,AIR,part_n_minor,4,0.4112118907874443
AGO,AIR,part_n_minor,5,-0.2878629378987131
ALB,AIR,part_n_minor,0,-0.12703154138367614
ALB,AIR,part_n_minor,1,0.2661294101051482
ALB,AIR,part_n_minor,2,-0.11245924328518203
ALB,AIR,part_n_minor,3,-0.007393030089563192
ALB,AIR,part_n_minor,4,0.11579748443416969
ALB,AIR,part_n_minor,5,-0.27231070229980964
ARE,AIR,part_n_minor,0,0.13872555173169046
ARE,AIR,part_n_minor,1,-0.06916954558845062
ARE,AIR,part_n_minor,2,0.0476818871324091
ARE,AIR,part_n_minor,3,-0.12477427678210325
ARE,AIR,part_n_minor,4,0.046795752099231036
ARE,AIR,part_n_minor,5,0.13007061118521063
ARG,AIR,part_n_minor,0,0.03113394207461773
ARG,AIR,part_n_minor,1,0.08403495529362087
ARG,AIR,part_n_minor,2,-0.18223753444298876
ARG,AIR,part_n_minor,3,0.2134898568018783
ARG,AIR,part_n_minor,4,-0.24729492837997663
ARG,AIR,part_n_minor,5,0.2640911790486395
ARM,AIR,part_n_minor,0,-0.2339470688364602
ARM,AIR,part_n_minor,1,0.26870281853787226
ARM,AIR,part_n_minor,2,0.005146147768861906
ARM,AIR,part_n_minor,3,-0.0839578081919667
ARM,AIR,part_n_minor,4,0.28780758046682814
ARM,AIR,part_n_minor,5,-0.4778944290884713
AUS,AIR,part_n_minor,0,-0.24254583772275298
AUS,AIR,part_n_minor,1,0.09573866713926724
AUS,AIR,part_n_minor,2,0.014504377023272143
AUS,AIR,part_n_minor,3,0.07430945727993472
AUS,AIR,part_n_minor,4,-0.032723446054685384
AUS,AIR,part_n_minor,5,-0.17839680215115056
AUT,AIR,part_n_minor,0,-0.1134548645165878
AUT,AIR,part_n_minor,1,0.05834368351152874
AUT,AIR,part_n_minor,2,-0.012981530727003069
AUT,AIR,part_n_minor,3,-0.05775093094385449
AUT,AIR,part_n_minor,4,0.11892162234444495
AUT,AIR,part_n_minor,5,-0.47757230861264494
AZE,AIR,part_n_minor,0,-0.27351523136289135
AZE,AIR,part_n_minor,1,0.09016223401397479
AZE,AIR,part_n_minor,2,0.03246297521616219
AZE,AIR,part_n_minor,3,0.15504781166488207
AZE,AIR,part_n_minor,4,-0.12786930103410918
AZE,AIR,part_n_minor,5,0.004275861014762877
BDI,AIR,part_n_minor,0,0.05861317388828248
BDI,AIR,part_n_minor,1,-0.010895356912030535
BDI,AIR,part_n_minor,2,-0.04892575148712942
BDI,AIR,part_n_minor,3,1.0591428149980478e-20
BDI,AIR,part_n_minor,4,0.08633350047628956
BDI,AIR,part_n_minor,5,-0.08763189362313552
BEL,AIR,part_n_minor,0,-0.2422621893288217
BEL,AIR,part_n_minor,1,0.19687644173502244
BEL,AIR,part_n_minor,2,0.04018504493105116
BEL,AIR,part_n_minor,3,-0.2113807929291157
BEL,AIR,part_n_minor,4,0.1607251029906081
BEL,AIR,part_n_minor,5,-0.34621148491197806
BEN,AIR,part_n_minor,0,0.28051068423900294
BEN,AIR,part_n_minor,1,-0.2663247640603844
BEN,AIR,part_n_minor,2,0.0578164147957792
BEN,AIR,part_n_minor,3,-0.11413743739720505
BEN,AIR,part_n_minor,4,0.14963956147387109
