weapon,outcome,lag,Z,p,W_bar,n_countries,sig
AIR,part_n_minor,1,0.2316303148124149,0.4084125799742284,1.027685117905293,140,
AIR,part_n_minor,2,-2.9359992733225146,0.9983376244933803,1.3006551502364523,141,
AIR,part_n_minor,3,-4.824418456336137,0.9999992979382619,1.2762603700895427,141,
AIR,part_n_war,1,-0.050089570112131686,0.5199744944244726,0.9936641148570787,125,
AIR,part_n_war,2,-2.861734894176925,0.997893354172699,1.276031973985599,125,
AIR,part_n_war,3,-4.08944882664583,0.9999783800275877,1.4227216381981984,121,
AIR,part_n_extraterritorial,1,0.5414808606743966,0.29408809309502704,1.06640064345153,133,
AIR,part_n_extraterritorial,2,-3.61749594438076,0.9998512665048955,1.1060414167555568,131,
AIR,part_n_extraterritorial,3,-5.184390233537247,0.9999998916386311,1.0634037738102144,129,
MISSILES,part_n_minor,1,3.637154736905552,0.0001378331697721169,1.4796537624469024,115,***
MISSILES,part_n_minor,2,-2.4920178824326924,0.9936490178926085,1.3398483360666373,114,
MISSILES,part_n_minor,3,-3.731902689484818,0.9999049805412391,1.510545154346755,113,
MISSILES,part_n_war,1,2.2564258129393124,0.012021988282819085,1.3114163481440986,105,**
MISSILES,part_n_war,2,-1.2649885945950254,0.8970622917897013,1.6491552891777312,104,
MISSILES,part_n_war,3,-3.816416626545293,0.9999322981005004,1.3967843416485792,102,
MISSILES,part_n_extraterritorial,1,2.0178057544322665,0.021805747677673182,1.273326100312965,109,**
MISSILES,part_n_extraterritorial,2,-2.6185294575198825,0.9955845166709811,1.2938351199536589,110,
MISSILES,part_n_extraterritorial,3,-3.0015221869945767,0.998656832687965,1.7746336983701088,108,
NAVAL,part_n_minor,1,3.2887986861564014,0.0005030798118417223,1.456074319139058,104,***
NAVAL,part_n_minor,2,-2.0906410665800643,0.9817198742253839,1.4173525391519317,103,
NAVAL,part_n_minor,3,-3.1890743498389074,0.9992863541860343,1.6668399692619944,103,
NAVAL,part_n_war,1,1.0045527385544424,0.1575561321916643,1.1473147609958088,93,
NAVAL,part_n_war,2,-2.5377183041747253,0.9944211122499088,1.2596714822750046,94,
NAVAL,part_n_war,3,-4.396906416256062,0.999994509767049,1.0000283088220514,87,
NAVAL,part_n_extraterritorial,1,2.040369357324475,0.020656775767431412,1.2929799653369476,97,**
NAVAL,part_n_extraterritorial,2,-2.970382362458387,0.9985128535262011,1.1425244717192666,96,
NAVAL,part_n_extraterritorial,3,-4.1810432741553445,0.9999854912686406,1.1703964750890044,94,
GROUND,part_n_minor,1,1.8696981993772646,0.030762869860084363,1.2234716778716708,140,**
GROUND,part_n_minor,2,-2.9201401880232924,0.9982506302038435,1.296912864669555,138,
GROUND,part_n_minor,3,-4.648956565043746,0.9999983319077423,1.320994193875564,138,
GROUND,part_n_war,1,6.423292010056131,6.66791066805672e-11,1.8190682813635182,123,***
GROUND,part_n_war,2,-2.3065365460534495,0.9894596647499715,1.4069208608112758,121,
GROUND,part_n_war,3,-4.543012336625655,0.9999972271997637,1.225650513966774,118,
GROUND,part_n_extraterritorial,1,4.927414507943573,4.1662431304878567e-07,1.6065227984559696,132,***
GROUND,part_n_extraterritorial,2,-2.8445411814818637,0.9977762281888697,1.2997223696385694,132,
GROUND,part_n_extraterritorial,3,-4.909457561192065,0.999999543356696,1.151719411890368,127,
