weapon,outcome,lag,Z_real,p_real,placebo_sig_rate,placebo_Z_mean,placebo_Z_std
AIR,part_n_minor,1,0.2316303148124149,0.4084125799742284,0.16,0.8343094907233778,1.1128193662808157
AIR,part_n_minor,2,-2.9359992733225146,0.9983376244933803,0.0,-3.7854530141687825,0.5590025136778914
AIR,part_n_minor,3,-4.824418456336137,0.9999992979382619,0.0,-5.143357451495748,0.3653818910794472
AIR,part_n_war,1,-0.050089570112131686,0.5199744944244726,0.3,0.7955204236103868,1.3753747628166475
AIR,part_n_war,2,-2.861734894176925,0.997893354172699,0.0,-3.448101745917979,0.552129935932369
AIR,part_n_war,3,-4.08944882664583,0.9999783800275877,0.02,-4.485069748317434,2.6725675929038286
AIR,part_n_extraterritorial,1,0.5414808606743966,0.29408809309502704,0.3,1.0924974575728532,1.4809411448884837
AIR,part_n_extraterritorial,2,-3.61749594438076,0.9998512665048955,0.0,-3.702806296431587,0.5049985986042786
AIR,part_n_extraterritorial,3,-5.184390233537247,0.9999998916386311,0.0,-5.057377188234851,0.3995621532066498
MISSILES,part_n_minor,1,3.637154736905552,0.0001378331697721169,0.2,0.7970338997000995,1.6719008051435682
MISSILES,part_n_minor,2,-2.4920178824326924,0.9936490178926085,0.0,-3.270825983971869,0.5792110449345532
MISSILES,part_n_minor,3,-3.731902689484818,0.9999049805412391,0.0,-4.7067421143067705,0.3987612803829508
MISSILES,part_n_war,1,2.2564258129393124,0.012021988282819085,0.5,2.3504483020506597,3.4033206740835404
MISSILES,part_n_war,2,-1.2649885945950254,0.8970622917897013,0.0,-2.7196515169235354,1.103965039487988
MISSILES,part_n_war,3,-3.816416626545293,0.9999322981005004,0.0,-3.9172302599978015,0.9698186519995119
MISSILES,part_n_extraterritorial,1,2.0178057544322665,0.021805747677673182,0.48,2.468073015860101,6.78921381871115
MISSILES,part_n_extraterritorial,2,-2.6185294575198825,0.9955845166709811,0.0,-2.7319659155616223,1.1379576866194987
MISSILES,part_n_extraterritorial,3,-3.0015221869945767,0.998656832687965,0.0,-4.27377253908348,0.5130543266376267
NAVAL,part_n_minor,1,3.2887986861564014,0.0005030798118417223,0.34,1.1220486601622133,1.6496102443775928
NAVAL,part_n_minor,2,-2.0906410665800643,0.9817198742253839,0.0,-3.10135151252785,0.5826385167989817
NAVAL,part_n_minor,3,-3.1890743498389074,0.9992863541860343,0.0,-4.436159195048152,0.32670004168827554
NAVAL,part_n_war,1,1.0045527385544424,0.1575561321916643,0.42,1.440118894665547,2.681931613596179
NAVAL,part_n_war,2,-2.5377183041747253,0.9944211122499088,0.0,-2.7226520293237333,0.7711701187344782
NAVAL,part_n_war,3,-4.396906416256062,0.999994509767049,0.0,-4.1094999253293905,0.4409234159769854
NAVAL,part_n_extraterritorial,1,2.040369357324475,0.020656775767431412,0.34,1.0560789390413017,1.644843642822659
NAVAL,part_n_extraterritorial,2,-2.970382362458387,0.9985128535262011,0.0,-2.8315168754374325,0.8116941825285303
NAVAL,part_n_extraterritorial,3,-4.1810432741553445,0.9999854912686406,0.0,-4.128746117572939,0.4065874146687651
GROUND,part_n_minor,1,1.8696981993772646,0.030762869860084363,0.28,1.0851264808286138,1.8653799073156008
GROUND,part_n_minor,2,-2.9201401880232924,0.9982506302038435,0.0,-3.6918274699003666,0.5411143461626466
GROUND,part_n_minor,3,-4.648956565043746,0.9999983319077423,0.02,-4.7789817454631285,2.4302907266307434
GROUND,part_n_war,1,6.423292010056131,6.66791066805672e-11,0.36,1.697163047071456,5.879845165582594
GROUND,part_n_war,2,-2.3065365460534495,0.9894596647499715,0.04,-2.895168771013989,1.842588517642835
GROUND,part_n_war,3,-4.543012336625655,0.9999972271997637,0.0,-4.213777115168265,1.528761393506832
GROUND,part_n_extraterritorial,1,4.927414507943573,4.1662431304878567e-07,0.34,3.7617724887030017,9.338370041139052
GROUND,part_n_extraterritorial,2,-2.8445411814818637,0.9977762281888697,0.06,-2.8538423943841145,2.304502370746354
GROUND,part_n_extraterritorial,3,-4.909457561192065,0.999999543356696,0.02,-4.637330104075081,1.3137587122529724
