Outcome,Region,marginal_β,SE,p,N,wald_stat,wald_p
part_n_war,Africa,1.2439,0.6848,0.0693,5007,9.326,0.156
part_n_war,Americas,-0.1774,0.3112,0.5687,5007,9.326,0.156
part_n_war,Asia,0.7967,0.7525,0.2897,5007,9.326,0.156
part_n_war,Europe,-0.161,0.6252,0.7968,5007,9.326,0.156
part_n_war,Middle East,0.81,0.8514,0.3414,5007,9.326,0.156
part_n_war,Oceania,1.2712,1.0641,0.2322,5007,9.326,0.156
part_n_war,Post-Soviet,1.4562,0.7632,0.0564,5007,9.326,0.156
part_n_minor,Africa,4.8774,1.8158,0.0073,5007,6.796,0.3402
part_n_minor,Americas,0.1642,1.8531,0.9294,5007,6.796,0.3402
part_n_minor,Asia,1.5837,2.4588,0.5195,5007,6.796,0.3402
part_n_minor,Europe,0.3109,1.245,0.8028,5007,6.796,0.3402
part_n_minor,Middle East,-1.3506,1.6615,0.4163,5007,6.796,0.3402
part_n_minor,Oceania,0.1454,1.5371,0.9247,5007,6.796,0.3402
part_n_minor,Post-Soviet,1.6185,2.0322,0.4258,5007,6.796,0.3402
log_brd,Africa,4.9485,1.3254,0.0002,4896,13.904,0.0307
log_brd,Americas,-0.2104,0.7903,0.7901,4896,13.904,0.0307
log_brd,Asia,2.5769,2.187,0.2387,4896,13.904,0.0307
log_brd,Europe,0.3702,0.543,0.4954,4896,13.904,0.0307
log_brd,Middle East,0.3116,1.0131,0.7584,4896,13.904,0.0307
log_brd,Oceania,1.1463,1.1335,0.3119,4896,13.904,0.0307
log_brd,Post-Soviet,1.9357,1.4071,0.1689,4896,13.904,0.0307
