iso3,β,SE,p,N
AFG,2.0297,0.5915,0.0006,4896
AGO,1.8386,0.5597,0.001,4861
ALB,2.0413,0.5952,0.0006,4861
AND,2.0297,0.5915,0.0006,4896
ARE,2.0316,0.5921,0.0006,4878
ARG,2.0423,0.5944,0.0006,4861
ARM,2.043,0.5969,0.0006,4864
ATG,2.0297,0.5915,0.0006,4896
AUS,2.0333,0.5925,0.0006,4861
AUT,2.0394,0.5947,0.0006,4861
AZE,1.8613,0.5425,0.0006,4863
BDI,2.0132,0.5858,0.0006,4864
BEL,2.0438,0.5942,0.0006,4861
BEN,2.0096,0.5942,0.0007,4873
BFA,1.9125,0.5959,0.0013,4861
BGD,2.0387,0.5924,0.0006,4861
BGR,2.0818,0.5992,0.0005,4861
BHR,2.0451,0.5967,0.0006,4861
BHS,2.0297,0.5915,0.0006,4896
BIH,2.0303,0.592,0.0006,4873
BLR,2.0662,0.5984,0.0006,4863
BLZ,2.0297,0.5915,0.0006,4896
BOL,2.0425,0.5951,0.0006,4861
BRA,2.03,0.5919,0.0006,4861
BRB,2.0297,0.5915,0.0006,4896
BRN,2.0297,0.5915,0.0006,4896
BTN,2.0297,0.5915,0.0006,4896
BWA,2.0409,0.595,0.0006,4861
CAF,1.959,0.5874,0.0009,4868
CAN,2.0319,0.5922,0.0006,4861
CHE,2.062,0.5987,0.0006,4861
CHL,2.0353,0.5934,0.0006,4861
CHN,2.0207,0.5914,0.0006,4861
CIV,2.0213,0.5963,0.0007,4867
CMR,2.0654,0.597,0.0005,4861
COD,1.951,0.5902,0.001,4865
COG,2.0468,0.592,0.0005,4874
COL,2.0553,0.589,0.0005,4861
COM,2.0297,0.5915,0.0006,4896
CPV,2.0297,0.5915,0.0006,4896
CRI,2.0328,0.5926,0.0006,4861
CUB,2.0297,0.5915,0.0006,4896
CYP,2.0533,0.5972,0.0006,4861
CZE,2.0559,0.5966,0.0006,4861
DEU,2.038,0.5927,0.0006,4861
DJI,2.0217,0.5986,0.0007,4877
DMA,2.0297,0.5915,0.0006,4896
DNK,2.0353,0.593,0.0006,4861
DOM,2.0332,0.5941,0.0006,4861
DZA,2.1364,0.5894,0.0003,4861
ECU,2.0586,0.5981,0.0006,4861
EGY,2.0197,0.5943,0.0007,4861
ERI,2.0297,0.5915,0.0006,4896
ESP,2.0375,0.5893,0.0006,4861
EST,2.0321,0.5921,0.0006,4864
ETH,2.0935,0.5812,0.0003,4861
FIN,2.039,0.5943,0.0006,4861
FJI,2.0325,0.5928,0.0006,4861
FRA,2.0366,0.5935,0.0006,4861
GAB,2.0334,0.5924,0.0006,4874
GBR,2.0247,0.5823,0.0005,4861
GEO,1.9788,0.5867,0.0008,4867
GHA,2.0376,0.5963,0.0006,4861
GIN,1.9691,0.5961,0.001,4871
GMB,2.0374,0.5937,0.0006,4865
GNB,2.0481,0.5909,0.0005,4870
GNQ,2.0322,0.5918,0.0006,4880
GRC,2.0395,0.5935,0.0006,4861
GRD,2.0297,0.5915,0.0006,4896
GTM,2.0208,0.5937,0.0007,4861
GUY,2.0286,0.5929,0.0006,4864
HND,2.0408,0.5935,0.0006,4868
HRV,1.9774,0.6149,0.0013,4863
HTI,2.0337,0.5902,0.0006,4878
HUN,2.059,0.599,0.0006,4861
IDN,2.0829,0.5927,0.0004,4861
IND,2.0329,0.5915,0.0006,4861
