drop,africa_β,SE,p,N,in_sample
(none),4.9485,1.3254,0.0002,4896,True
SDN,5.1331,1.4229,0.0003,4869,True
ETH,5.1974,1.3574,0.0001,4861,True
SOM,4.9485,1.3254,0.0002,4896,False
UGA,5.3099,1.3305,0.0001,4861,True
TCD,5.2971,1.2522,0.0,4863,True
AGO,4.8492,1.5361,0.0016,4861,True
BDI,4.9246,1.3214,0.0002,4864,True
COD,4.806,1.3467,0.0004,4865,True
RWA,5.106,1.357,0.0002,4861,True
MLI,4.5059,1.2509,0.0003,4863,True
CAF,4.7368,1.3175,0.0003,4868,True
NER,4.6347,1.3088,0.0004,4868,True
NGA,4.5333,1.3482,0.0008,4861,True
MOZ,4.5255,1.2814,0.0004,4862,True
SLE,4.7673,1.3393,0.0004,4861,True
SSD,4.8722,1.322,0.0002,4891,True
CMR,5.0618,1.3576,0.0002,4861,True
KEN,5.0756,1.3596,0.0002,4861,True
SEN,5.202,1.3185,0.0001,4861,True
BFA,4.4868,1.2934,0.0005,4861,True
COG,5.0625,1.334,0.0001,4874,True
LBR,4.934,1.3186,0.0002,4875,True
DJI,4.9024,1.3578,0.0003,4877,True
CIV,4.981,1.3646,0.0003,4867,True
BEN,4.8714,1.3339,0.0003,4873,True
ERI,4.9485,1.3254,0.0002,4896,False
TGO,4.8654,1.3369,0.0003,4870,True
COM,4.9485,1.3254,0.0002,4896,False
GIN,4.7779,1.3398,0.0004,4871,True
GNB,5.0088,1.3246,0.0002,4870,True
LSO,4.8822,1.325,0.0002,4861,True
MRT,5.0484,1.3537,0.0002,4864,True
TZA,5.1074,1.3827,0.0002,4861,True
ZAF,5.2426,1.3821,0.0002,4861,True
"top-3 jointly (SDN, ETH, SOM)",5.4121,1.4642,0.0002,4834,True
