perm,n_sig_cells
0,3.0
1,5.0
2,5.0
3,2.0
4,6.0
5,4.0
6,4.0
7,3.0
8,1.0
9,1.0
10,3.0
11,8.0
12,4.0
13,5.0
14,2.0
15,3.0
16,5.0
17,2.0
18,5.0
19,4.0
20,4.0
21,6.0
22,4.0
23,7.0
24,3.0
25,3.0
26,7.0
27,4.0
28,4.0
29,6.0
30,3.0
31,4.0
32,5.0
33,7.0
34,4.0
35,3.0
36,4.0
37,3.0
38,4.0
39,3.0
40,3.0
41,6.0
42,7.0
43,2.0
44,3.0
45,4.0
46,4.0
47,5.0
48,3.0
49,7.0
50,7.0
51,2.0
52,4.0
53,7.0
54,2.0
55,1.0
56,4.0
57,5.0
58,4.0
59,5.0
60,5.0
61,3.0
62,2.0
63,4.0
64,8.0
65,1.0
66,3.0
67,2.0
68,3.0
69,8.0
70,4.0
71,6.0
72,3.0
73,2.0
74,6.0
75,3.0
76,6.0
77,6.0
78,3.0
79,0.0
80,4.0
81,6.0
82,4.0
83,5.0
84,0.0
85,2.0
86,7.0
87,5.0
88,1.0
89,4.0
90,3.0
91,6.0
92,5.0
93,3.0
94,2.0
95,4.0
96,0.0
97,5.0
98,3.0
99,3.0
100,5.0
101,4.0
102,5.0
103,6.0
104,5.0
105,3.0
106,8.0
107,2.0
108,5.0
109,4.0
110,6.0
111,1.0
112,2.0
113,6.0
114,2.0
115,4.0
116,3.0
117,3.0
118,2.0
119,4.0
120,7.0
121,2.0
122,2.0
123,4.0
124,4.0
125,2.0
126,4.0
127,3.0
128,0.0
129,3.0
130,6.0
131,3.0
132,4.0
133,2.0
134,5.0
135,3.0
136,3.0
137,1.0
138,5.0
139,4.0
140,4.0
141,4.0
142,1.0
143,3.0
144,2.0
145,2.0
146,6.0
147,5.0
148,3.0
149,4.0
150,4.0
151,6.0
152,3.0
153,5.0
154,6.0
155,2.0
156,1.0
157,7.0
158,6.0
159,2.0
160,6.0
161,6.0
162,4.0
163,3.0
164,3.0
165,6.0
166,2.0
167,3.0
168,2.0
169,5.0
170,7.0
171,2.0
172,4.0
173,1.0
174,6.0
175,2.0
176,7.0
177,1.0
178,3.0
179,1.0
180,0.0
181,3.0
182,4.0
183,3.0
184,6.0
185,1.0
186,2.0
187,6.0
188,5.0
189,0.0
190,6.0
191,8.0
192,6.0
193,1.0
194,2.0
195,3.0
196,2.0
197,2.0
198,2.0
199,3.0
OBSERVED_NB06,8.0
NULL_MEAN,3.8
NULL_SD,1.876
EMPIRICAL_P,0.0299
