cell,AIRxpart_n_extraterritorial,AIRxpart_n_minor,AIRxpart_n_war,GROUNDxpart_n_extraterritorial,GROUNDxpart_n_minor,GROUNDxpart_n_war,MISSILESxpart_n_extraterritorial,MISSILESxpart_n_minor,MISSILESxpart_n_war,NAVALxpart_n_extraterritorial,NAVALxpart_n_minor,NAVALxpart_n_war
AIRxpart_n_extraterritorial,1.0,0.49885305880418224,0.3055896587874326,-0.04777371285274294,0.005412813113051964,-0.0453773040905275,-0.003543420428561866,0.03872514967524947,-0.017459873521833577,0.04748925961585365,0.010847087268882212,-0.00038688026565057503
AIRxpart_n_minor,0.49885305880418224,1.0,0.08902388603698595,-0.02617616148217953,0.0010417903891971538,-0.027833899803260825,0.020848275036078688,0.00932872987556532,0.011374435671466513,0.0066266208751128925,-0.03532360667320838,-0.006764814069051278
AIRxpart_n_war,0.3055896587874326,0.08902388603698595,1.0,-0.02343860381728228,0.010029761207276524,-0.02455766732264559,0.009226493011430206,0.03417006331869261,-0.00682216295867485,0.013140968086132777,-0.031449171880772175,-0.014239054811661636
GROUNDxpart_n_extraterritorial,-0.04777371285274294,-0.02617616148217953,-0.02343860381728228,1.0,0.11054535221054267,0.9511390629212728,-0.008251015422303847,-0.003750495616368519,-0.012969253123366331,-0.0403044589514584,0.000807874679796205,-0.015134791701297683
GROUNDxpart_n_minor,0.005412813113051964,0.0010417903891971538,0.010029761207276524,0.11054535221054267,1.0,-0.023864589390999592,-0.04533485012106489,-0.05421543128410495,0.004098525026336501,-0.007746350975112468,0.018901507642019554,0.01386683795901175
GROUNDxpart_n_war,-0.0453773040905275,-0.027833899803260825,-0.02455766732264559,0.9511390629212728,-0.023864589390999592,1.0,-0.0003634427003949813,0.0013023931846559379,-0.027026921181212863,-0.03273798050395193,0.0044812529123348715,-0.01248428947452965
MISSILESxpart_n_extraterritorial,-0.003543420428561866,0.020848275036078688,0.009226493011430206,-0.008251015422303847,-0.04533485012106489,-0.0003634427003949813,1.0,0.4274582274363374,0.21011791647842915,0.005878142569060086,-0.020729066115788244,0.06133821829918752
MISSILESxpart_n_minor,0.03872514967524947,0.00932872987556532,0.03417006331869261,-0.003750495616368519,-0.05421543128410495,0.0013023931846559379,0.4274582274363374,1.0,0.08556504796482994,-0.03989416036257203,-0.029429121061915205,0.010965177891240295
MISSILESxpart_n_war,-0.017459873521833577,0.011374435671466513,-0.00682216295867485,-0.012969253123366331,0.004098525026336501,-0.027026921181212863,0.21011791647842915,0.08556504796482994,1.0,-0.0042051791208594464,-0.019430363835677898,-0.0037437732510300346
NAVALxpart_n_extraterritorial,0.04748925961585365,0.0066266208751128925,0.013140968086132777,-0.0403044589514584,-0.007746350975112468,-0.03273798050395193,0.005878142569060086,-0.03989416036257203,-0.0042051791208594464,1.0,0.5575313848864243,0.13763807550258828
NAVALxpart_n_minor,0.010847087268882212,-0.03532360667320838,-0.031449171880772175,0.000807874679796205,0.018901507642019554,0.0044812529123348715,-0.020729066115788244,-0.029429121061915205,-0.019430363835677898,0.5575313848864243,1.0,0.04999711998151767
NAVALxpart_n_war,-0.00038688026565057503,-0.006764814069051278,-0.014239054811661636,-0.015134791701297683,0.01386683795901175,-0.01248428947452965,0.06133821829918752,0.010965177891240295,-0.0037437732510300346,0.13763807550258828,0.04999711998151767,1.0
