weapon,outcome,n_eligible,n_zero_var_outcome,frac_zero_var,wald_p99,wald_max,null_sd_Z,n_units_dh
GROUND,part_n_war,192,63,0.328125,0.6196509047035538,266.84075317558313,7.3997,123
GROUND,part_n_extraterritorial,192,55,0.2864583333333333,0.4918810354637488,0.560566568017895,7.274,132
MISSILES,part_n_extraterritorial,192,55,0.2864583333333333,0.30869442455689344,0.9029513641375169,2.5477,110
MISSILES,part_n_war,192,63,0.328125,0.33229892081262236,1.0632584230609121,2.4158,106
NAVAL,part_n_extraterritorial,192,55,0.2864583333333333,0.3335489845071274,0.6832511053494932,1.9592,97
NAVAL,part_n_war,192,63,0.328125,0.21803008255388828,0.3423886351345387,1.8449,94
AIR,part_n_war,192,63,0.328125,0.24223946841908262,0.29363172419208056,1.6697,126
GROUND,part_n_minor,192,44,0.22916666666666666,0.35861429625571706,0.4531411602212789,1.5664,140
MISSILES,part_n_minor,192,44,0.22916666666666666,0.4258451304728175,0.8187918022630337,1.548,115
NAVAL,part_n_minor,192,44,0.22916666666666666,0.784550749288644,0.9999999999999996,1.5333,104
AIR,part_n_minor,192,44,0.22916666666666666,0.25975749107708634,0.3474671010079721,1.5234,143
AIR,part_n_extraterritorial,192,55,0.2864583333333333,0.30250732025091087,0.428219488432349,1.4171,133
