weapon,outcome,obs_Z,cs_null_mean_Z,cs_null_sd_Z,cs_n_finite,p_cell_cs,q_bh_cs,p_cell,q_bh,null_mean_Z,null_sd_Z,nominal_sig
GROUND,part_n_war,6.4233,2.379,6.7108,2000,0.03248,0.3898,0.04198,0.2024,2.228,7.3997,True
GROUND,part_n_extraterritorial,4.9274,2.2387,6.5663,2000,0.06997,0.4198,0.06747,0.2024,2.393,7.274,True
MISSILES,part_n_minor,3.6372,1.3982,1.8326,2000,0.11994,0.4318,0.05547,0.2024,0.8858,1.548,True
NAVAL,part_n_minor,3.2888,1.3271,1.7895,2000,0.14393,0.4318,0.06147,0.2024,0.7655,1.5333,True
GROUND,part_n_minor,1.8697,1.214,1.7097,2000,0.31834,0.587,0.25037,0.4783,0.9676,1.5664,True
NAVAL,part_n_extraterritorial,2.0404,1.6053,2.3585,2000,0.35232,0.587,0.24188,0.4783,1.0092,1.9592,True
MISSILES,part_n_war,2.1771,1.8469,2.7917,2000,0.38281,0.587,0.31884,0.4783,1.4929,2.4158,True
MISSILES,part_n_extraterritorial,1.9412,1.7347,2.3183,2000,0.3913,0.587,0.29935,0.4783,1.2683,2.5477,True
AIR,part_n_extraterritorial,0.5415,0.9788,1.5315,2000,0.5957,0.764,0.53873,0.6465,0.7927,1.4171,False
NAVAL,part_n_war,0.9263,1.8085,2.0402,2000,0.63668,0.764,0.44778,0.597,0.9053,1.8449,False
AIR,part_n_minor,0.0518,1.378,2.309,2000,0.74813,0.8161,0.68116,0.7221,0.7784,1.5234,False
AIR,part_n_war,-0.1129,1.6981,1.841,2000,0.84458,0.8446,0.72214,0.7221,0.8256,1.6697,False
