weapon,outcome,null_sd_Z,cs_null_sd_Z,frac_zero_var,n_units_dh,sd_ratio
GROUND,part_n_war,7.3997,6.7108,0.328125,123,0.9069016311472087
GROUND,part_n_extraterritorial,7.274,6.5663,0.2864583333333333,132,0.9027082760516909
MISSILES,part_n_minor,1.548,1.8326,0.22916666666666666,115,1.1838501291989665
NAVAL,part_n_minor,1.5333,1.7895,0.22916666666666666,104,1.1670905889258463
GROUND,part_n_minor,1.5664,1.7097,0.22916666666666666,140,1.0914836567926456
NAVAL,part_n_extraterritorial,1.9592,2.3585,0.2864583333333333,97,1.2038076766026948
MISSILES,part_n_war,2.4158,2.7917,0.328125,106,1.1556006291911582
MISSILES,part_n_extraterritorial,2.5477,2.3183,0.2864583333333333,110,0.909958001334537
AIR,part_n_extraterritorial,1.4171,1.5315,0.2864583333333333,133,1.0807282478300755
NAVAL,part_n_war,1.8449,2.0402,0.328125,94,1.1058593961732344
AIR,part_n_minor,1.5234,2.309,0.22916666666666666,143,1.5156885913089142
AIR,part_n_war,1.6697,1.841,0.328125,126,1.1025932802299814
