weapon,outcome,rmse_M0,mae_M0,rmse_M1,mae_M1,rmse_M2,mae_M2,rmse_M3,mae_M3,skill_M3_vs_M2,n_forecasts,n_origins_used,n_origins_skipped
AIR,part_n_minor,0.3951969537039547,0.19852806344957924,0.39634983375540805,0.20631262629204422,0.3658838885187411,0.20071405406709739,0.3660893256966834,0.2013710347383893,-0.0005614818919028597,3648,19,0
AIR,part_n_war,0.2225997932093715,0.07237288679192759,0.2231223272546122,0.07763583784098924,0.21406677570521415,0.08921752182628617,0.214048856696815,0.08942745939975588,8.370756433417892e-05,3648,19,0
AIR,part_n_extraterritorial,0.34551049685525914,0.15432147270853466,0.3463900553735396,0.16658209138079566,0.3363967641822281,0.16983691504150392,0.33649233266621287,0.16997320596113638,-0.0002840945400206518,3648,19,0
MISSILES,part_n_minor,0.3951969537039547,0.19852806344957924,0.39634983375540805,0.20631262629204422,0.3658838885187411,0.20071405406709739,0.3659611055402899,0.2010307677944566,-0.00021104242075642432,3648,19,0
MISSILES,part_n_war,0.2225997932093715,0.07237288679192759,0.2231223272546122,0.07763583784098924,0.21406677570521415,0.08921752182628617,0.2140845435433912,0.09056567090108841,-8.30013817816333e-05,3648,19,0
MISSILES,part_n_extraterritorial,0.34551049685525914,0.15432147270853466,0.3463900553735396,0.16658209138079566,0.3363967641822281,0.16983691504150392,0.33645247496195785,0.16986944569029366,-0.00016561033179129936,3648,19,0
NAVAL,part_n_minor,0.3951969537039547,0.19852806344957924,0.39634983375540805,0.20631262629204422,0.3658838885187411,0.20071405406709739,0.365896828575895,0.20071650383508502,-3.536656726343956e-05,3648,19,0
NAVAL,part_n_war,0.2225997932093715,0.07237288679192759,0.2231223272546122,0.07763583784098924,0.21406677570521415,0.08921752182628617,0.2141099828127806,0.08934414885660695,-0.00020183939064866152,3648,19,0
NAVAL,part_n_extraterritorial,0.34551049685525914,0.15432147270853466,0.3463900553735396,0.16658209138079566,0.3363967641822281,0.16983691504150392,0.33640112023638435,0.16983113158933225,-1.2949155937524992e-05,3648,19,0
GROUND,part_n_minor,0.3951969537039547,0.19852806344957924,0.39634983375540805,0.20631262629204422,0.3658838885187411,0.20071405406709739,0.3659982089514195,0.20146572254968464,-0.00031245003200663923,3648,19,0
GROUND,part_n_war,0.2225997932093715,0.07237288679192759,0.2231223272546122,0.07763583784098924,0.21406677570521415,0.08921752182628617,0.2140215710131755,0.0895515625998033,0.00021117098573431026,3648,19,0
GROUND,part_n_extraterritorial,0.34551049685525914,0.15432147270853466,0.3463900553735396,0.16658209138079566,0.3363967641822281,0.16983691504150392,0.33641565101276916,0.16980396948290788,-5.614450717739139e-05,3648,19,0
