weapon,outcome,skill_M3_vs_M2,null_mean_skill,null_sd_skill,null_p95_skill,n_finite_perm,n_exceed,p_cell,q_bh,survives_nominal,survives_bh
GROUND,part_n_war,0.00021,-0.00018,0.00035,0.00033,2000,172,0.08646,0.70864,False,False
AIR,part_n_war,8e-05,-0.00016,0.00031,0.00028,2000,269,0.13493,0.70864,False,False
NAVAL,part_n_extraterritorial,-1e-05,-7e-05,0.00019,0.00024,2000,541,0.27086,0.70864,False,False
NAVAL,part_n_minor,-4e-05,-7e-05,0.0002,0.00029,2000,633,0.31684,0.70864,False,False
MISSILES,part_n_war,-8e-05,-0.00017,0.0003,0.00028,2000,695,0.34783,0.70864,False,False
GROUND,part_n_extraterritorial,-6e-05,-7e-05,0.00019,0.00026,2000,708,0.35432,0.70864,False,False
NAVAL,part_n_war,-0.0002,-0.00016,0.00029,0.00026,2000,1309,0.65467,0.98551,False,False
MISSILES,part_n_extraterritorial,-0.00017,-9e-05,0.00019,0.00023,2000,1474,0.73713,0.98551,False,False
MISSILES,part_n_minor,-0.00021,-8e-05,0.0002,0.00028,2000,1648,0.82409,0.98551,False,False
AIR,part_n_extraterritorial,-0.00028,-9e-05,0.00019,0.00023,2000,1800,0.90005,0.98551,False,False
GROUND,part_n_minor,-0.00031,-9e-05,0.00021,0.00026,2000,1826,0.91304,0.98551,False,False
AIR,part_n_minor,-0.00056,-9e-05,0.0002,0.00024,2000,1971,0.98551,0.98551,False,False
