weapon,outcome,skill_M3_vs_M2,n_row,p_naive_row,n_orig,p_naive_origin,rigorous_p_cell,rigorous_q_bh,rigorous_survives_bh
AIR,part_n_minor,-0.0005614818919028,3648,0.9739420914122104,19,0.9626370752996132,0.98551,0.98551,False
AIR,part_n_war,8.370756433417892e-05,3648,0.38487896487441875,19,0.3391383970012023,0.13493,0.70864,False
AIR,part_n_extraterritorial,-0.0002840945400206,3648,0.9348943139003003,19,0.9266075985637863,0.90005,0.98551,False
MISSILES,part_n_minor,-0.0002110424207564,3648,0.6909774474139907,19,0.6745610689246793,0.82409,0.98551,False
MISSILES,part_n_war,-8.30013817816333e-05,3648,0.546030450571213,19,0.5464210287400127,0.34783,0.70864,False
MISSILES,part_n_extraterritorial,-0.0001656103317912,3648,0.7545406102501715,19,0.6982598540553653,0.73713,0.98551,False
NAVAL,part_n_minor,-3.536656726343956e-05,3648,0.5723200599724065,19,0.5774434822335537,0.31684,0.70864,False
NAVAL,part_n_war,-0.0002018393906486,3648,0.8080731359263349,19,0.7916360704736594,0.65467,0.98551,False
NAVAL,part_n_extraterritorial,-1.2949155937524992e-05,3648,0.5208760991676091,19,0.5240872759484385,0.27086,0.70864,False
GROUND,part_n_minor,-0.0003124500320066,3648,0.7110946774008468,19,0.7298217972352046,0.91304,0.98551,False
GROUND,part_n_war,0.0002111709857343,3648,0.2947860923947405,19,0.2707999873744341,0.08646,0.70864,False
GROUND,part_n_extraterritorial,-5.614450717739139e-05,3648,0.6215472169726157,19,0.601337974421411,0.35432,0.70864,False
